id;title;SCHULE1;address;lat;lng;type;SCHULFORM1;icon;color;Gebaeudeklasse;KESSFaktor;Summe2011;Summe2012;Summe2013;Summe2014;Summe2015;SCHULE2;REGION2;SCHULFORM2;Kessfaktor2;Plankosten2016
5167;Ganztagsgrundschule Sternschanze;Ganztagsgrundschule Sternschanze;Ludwigstraße 7, 20357 Hamburg;53.559763;9.966051;Grundschule;Grundschule;fa-building-o;green;2,8;2;;;6442;;;Ganztagsgrundschule Sternschanze;Altona;Grundschule;2;174500
5212;Ganztagsschule an der Elbe;Ganztagsschule an der Elbe;Struenseestraße 32, 22767 Hamburg;53.547502;9.945191;Grundschule;Grundschule;fa-building-o;green;3,5;2;;;25065;56903;;;;;;
5744;Ganztagsschule Fährstraße;Ganztagsschule Fährstraße;Fährstraße 90, 21107 Hamburg;53.517166;9.98147;Grundschule;Grundschule;fa-building-o;green;4,3;1;12981;11026;12616;6944;9048;;;;;
5886;Gelehrtenschule des Johanneums;;Maria-Louisen-Straße 114, 22301 Hamburg;53.589963;10.006038;Gymnasium;;fa-building-o;green;;;;;;;;Gelertenschule des Johanneums;Hamburg-Nord;Gymnasium;6;110000
5066;Geschwister-Scholl-Stadtteilschule;Geschwister-Scholl-Stadtteilschule;Böttcherkamp 181, 22549 Hamburg;53.591429;9.855568;Stadtteilschule;Stadtteilschule;fa-building-o;green;5;1;;;58527;59601;55276;;;;;
5824;Goethe-Gymnasium;Goethe-Gymnasium;Rispenweg 28, 22547 Hamburg;53.598487;9.892536;Gymnasium;Gymnasium;fa-building-o;green;3,1;4;;;34325;66835;29843;Goethe-Gymnasium;Altona;Gymnasium;4;174000
5070;Goethe-Schule-Harburg;;Bunatwiete 20, 21073 Hamburg;53.45631;9.982271;Stadtteilschule;;fa-building-o;green;;;;;;;;;;;;
5127;Goldbek-Schule;Goldbek-Schule;Imstedt 18, 22083 Hamburg;53.579475;10.02837;Grundschule;Grundschule;fa-building-o;green;3,4;4;;;14119;13499;6943;;;;;
5232;Gorch-Fock-Schule;;Karstenstraße 22, 22587 Hamburg;53.564438;9.801212;Grundschule;;fa-building-o;green;;;;;;;;;;;;
5084;Gretel-Bergmann-Schule;Gretel-Bergmann-Schule;Von-Moltke-Bogen 40, 21035 Hamburg;53.486129;10.160935;Stadtteilschule;Stadtteilschule;fa-building-o;green;2;2;;;110583;120739;133024;Gretel-Bergmann-Schule;Bergedorf;Stadtteilschule;2;477600
;;Grumbrechtstraße;;;;;Grundschule;;;3;2;0;0;11683;0;5651;;;;;
5501;Grundschule Altrahlstedt;Grundschule Altrahlstedt;Brockdorffstraße 64, 22149 Hamburg;53.595968;10.163651;Grundschule;Grundschule;fa-building-o;green;4,4;4;;;;6842;9989;;;;;
5111;Grundschule Am Heidberg;Grundschule Am Heidberg;Tangstedter Landstraße 300, 22417 Hamburg;53.670945;10.028731;Grundschule;Grundschule;fa-building-o;green;3,1;5;;;;;46952;;;;;
5719;Grundschule am Kiefernberg;Grundschule am Kiefernberg;Weusthoffstraße 95, 21075 Hamburg;53.461274;9.957321;Grundschule;Grundschule;fa-building-o;green;3,8;3;5217;9969;0;0;6107;GR am Kiefernberg;GMH - Süd;Grundschule;3;64100
5749;Grundschule An der Haake;Grundschule an der Haake (Hausbruch);Lange Striepen 51, 21147 Hamburg;53.476962;9.886229;Grundschule;Grundschule;fa-building-o;green;3,1;3;0;0;0;6337;6764;Grundschule an der Haake (Hausbruch);GMH - Süd;Grundschule;3;58500
5118;Grundschule Archenholzstraße;Grundschule Archenholzstraße;Archenholzstraße 55, 22117 Hamburg;53.54374;10.119649;Grundschule;Grundschule;fa-building-o;green;4,4;2;;;22064;15809;62026;;;;;
5137;Grundschule Arnkielstraße;Grundschule Arnkielstraße;Arnkielstraße 2, 22769 Hamburg;53.564073;9.952837;Grundschule;Grundschule;fa-building-o;green;2,8;1;;;37956;;38769;;;;;
5331;Grundschule Bindfeldweg;Grundschule Bindfeldweg;Bindfeldweg 37, 22459 Hamburg;53.622937;9.946712;Grundschule;Grundschule;fa-building-o;green;2,6;5;;;16845;42683;26499;;;;;
5205;Grundschule Bramfeld;Grundschule Bramfeld;Bramfelder Dorfplatz 5, 22179 Hamburg;53.614126;10.077605;Grundschule;Grundschule;fa-building-o;green;3,4;3;;;93280;74689;;;;;;
;;;;;;;;;;;;;;;;;Grundschule Curslack-Neuengamme;Bergedorf;Grundschule;5;104210
5102;Grundschule Eckerkoppel;Grundschule Eckerkoppel;Berner Heerweg 99, 22159 Hamburg;53.598866;10.115957;Grundschule;Grundschule;fa-building-o;green;5,1;4;;;10072;;26648;;;;;
5074;Grundschule Edwin-Scharff-Ring;Grundschule Edwin-Scharff-Ring;Edwin-Scharff-Ring 56, 22309 Hamburg;53.615419;10.047782;Grundschule;Grundschule;fa-building-o;green;3,9;2;;;31622;23664;35972;;;;;
5263;Grundschule Franzosenkoppel;Grundschule Franzosenkoppel;Franzosenkoppel 118, 22547 Hamburg;53.608217;9.871529;Grundschule;Grundschule;fa-building-o;green;3;3;;;13199;28069;19240;;;;;
