id;title;address;zip;type;icon;color;costs;lat;lng;priority
05G18;Grundschule im Beerwinkel;Im Spektefeld 31;13589;Grundschule;fa-building-o;orange;7500000;52.549023;13.154969;Höchste Priorität
05K01;Martin-Buber-Oberschule (Integrierte Sekundarschule);Im Spektefeld 33;13589;Integrierte Sekundarschule;fa-building-o;red;12140000;52.54895;13.1565;Höchste Priorität
05G17;Astrid-Lindgren-Grundschule;Südekumzeile 5;13591;Grundschule;fa-building-o;orange;5090000;52.5311;13.15652;Priorität 2 oder 3
10K09;Konrad-Wachsmann-Schule;Geithainer Str. 12;12627;Integrierte Sekundarschule;fa-building-o;blue;3320000;52.529047;13.622082;unbekannte Priorität
09G25;Müggelschlößchen-Schule (Grundschule);Alfred-Randt-Str. 56;12559;Grundschule;fa-building-o;orange;6960000;52.43884;13.6059;Höchste Priorität
10Y11;Melanchthon-Gymnasium;Adele-Sandrock-Str. 73-75;12627;Gymnasium;fa-building-o;orange;8090000;52.534367;13.618584;Priorität 2 oder 3
10G22;Kolibri-Grundschule;Schönewalder Str. 9;12627;Grundschule;fa-building-o;green;0;52.532527;13.618558;unbekannte Priorität
05G25;Grundschule am Wasserwerk;Pionierstr. 197;13589;Grundschule;fa-building-o;blue;3240000;52.55625;13.16467;unbekannte Priorität
05S04;Schule am Stadtrand;Pionierstr. 197;13589;Übrige Förderschwerpunkte;fa-building-o;green;0;52.55625;13.16467;unbekannte Priorität
06G09;Dreilinden-Grundschule;Dreilindenstr. 65;14109;Grundschule;fa-building-o;blue;400000;52.4205;13.18369;unbekannte Priorität
10G26;Friedrich-Schiller-Grundschule;An der Schule 13-17;12623;Grundschule;fa-building-o;blue;3690000;52.5115;13.614782;unbekannte Priorität
06Y04;Dreilinden-Gymnasium;Dreilindenstr. 49;14109;Gymnasium;fa-building-o;orange;9320000;52.42057;13.18778;Höchste Priorität
09G16;Wendenschloß-Schule (Grundschule);Köpenzeile 123;12557;Grundschule;fa-building-o;blue;4470000;52.42845;13.5953;unbekannte Priorität
05G26;Grundschule am Amalienhof;Weinmeisterhornweg 122;13593;Grundschule;fa-building-o;blue;3650000;52.51289;13.1667;unbekannte Priorität
05G22;Christian-Morgenstern-Grundschule;Räcknitzer Steig 12;13593;Grundschule;fa-building-o;blue;1800000;52.5227;13.16816;unbekannte Priorität
10G32;Kiekemal-Schule (Grundschule);Hultschiner Damm 219;12623;Grundschule;fa-building-o;blue;330000;52.49407;13.60915;unbekannte Priorität
10G25;Grundschule am Schleipfuhl;Nossener Str. 85;12627;Grundschule;fa-building-o;blue;4130000;52.52913;13.6081;unbekannte Priorität
05K05;B.-Traven-Gemeinschaftsschule;Recklinghauser Weg 26-32;13583;Integrierte Sekundarschule;fa-building-o;red;10320000;52.5469;13.17403;Höchste Priorität
05G24;Grundschule am Windmühlenberg;Am Kinderdorf 23-37;14089;Grundschule;fa-building-o;blue;3300000;52.48547;13.17431;unbekannte Priorität
05G06;Siegerland-Grundschule;Hermann-Schmidt-Weg 4;13589;Grundschule;fa-building-o;orange;5410000;52.55125;13.175203;Priorität 2 oder 3
